year,sex,school_id,school_name,enrolment
2004,MF,17,Temasek Polytechnic,12782.0
2005,F,17,Temasek Polytechnic,6776.0
2005,MF,17,Temasek Polytechnic,13582.0
2006,F,17,Temasek Polytechnic,7236.0
2006,MF,17,Temasek Polytechnic,14568.0
2007,F,17,Temasek Polytechnic,7541.0
2007,MF,17,Temasek Polytechnic,15243.0
2008,F,17,Temasek Polytechnic,7587.0
2008,MF,17,Temasek Polytechnic,15615.0
2009,F,17,Temasek Polytechnic,7676.0
2009,MF,17,Temasek Polytechnic,15791.0
2010,F,17,Temasek Polytechnic,7804.0
2010,MF,17,Temasek Polytechnic,15933.0
2011,F,17,Temasek Polytechnic,7894.0
2011,MF,17,Temasek Polytechnic,16020.0
2012,F,17,Temasek Polytechnic,7855.0
2012,MF,17,Temasek Polytechnic,16005.0
2013,F,17,Temasek Polytechnic,7934.0
2013,MF,17,Temasek Polytechnic,16250.0
2014,F,17,Temasek Polytechnic,7900.0
2014,MF,17,Temasek Polytechnic,16138.0
